Date,AN,AP,AR,AS,BR,CH,CT,DD,DL,DN,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TG,TN,TR,UP,UT,WB,Total
27 Apr,0,4,0,0,0,0,0,0,0,0,0,81,3,14,4,27,11,13,0,0,94,0,0,55.0,0,0,2,14,1,115,0,16,54,0,72,0,0,580
28 Apr,4,23,0,0,8,0,2,0,201,0,0,40,0,11,2,12,14,4,0,0,106,0,0,16.0,0,0,1,3,0,26,0,42,54,0,63,0,4,636
29 Apr,0,29,0,2,0,0,0,0,14,0,0,93,0,1,0,16,9,10,1,0,205,0,0,88.0,0,0,1,0,0,44,0,35,82,0,48,2,10,690
30 Apr,1,34,0,0,20,1,2,0,2,0,0,86,3,10,0,24,13,14,0,0,180,0,0,21.0,0,0,2,3,0,79,0,33,48,0,41,8,5,630
01 May,0,82,0,4,14,0,0,0,73,0,0,123,2,6,2,31,22,9,0,0,106,10,0,42.0,0,0,14,4,0,223,0,22,54,0,103,1,15,962
02 May,10,38,0,0,19,1,0,0,89,0,0,160,3,1,1,7,20,8,0,0,121,0,0,100.0,0,0,1,4,0,126,0,35,29,0,44,2,12,831
03 May,6,47,0,0,7,0,0,0,106,0,0,146,1,3,5,33,22,1,0,0,115,0,0,174.0,0,0,4,5,1,114,0,46,38,0,56,0,-19,911
04 May,0,36,0,0,3,2,0,0,69,0,0,153,0,9,0,16,28,61,0,0,350,0,0,58.0,0,0,0,11,0,82,0,40,30,0,48,0,86,1082
05 May,0,65,0,0,31,0,0,0,37,0,0,186,0,2,6,17,10,0,0,0,354,0,0,144.0,1,0,0,5,0,87,0,43,76,0,185,0,46,1295
06 May,0,140,0,2,0,0,0,0,74,0,0,119,0,4,4,2,23,7,0,0,275,0,0,99.0,0,0,1,2,0,214,0,20,31,0,143,0,1,1161
07 May,1,51,0,0,60,0,0,0,389,0,0,209,0,0,4,13,12,5,0,0,207,0,0,132.0,0,0,1,14,0,150,0,45,31,0,120,0,31,1475
08 May,0,62,0,0,49,0,2,0,89,0,0,163,0,19,0,29,10,10,1,0,169,0,0,118.0,0,0,1,3,2,122,0,34,58,0,137,6,27,1111
09 May,0,45,0,0,51,3,5,0,0,0,0,219,1,11,37,4,10,1,0,0,330,0,0,131.0,0,0,5,5,0,151,0,24,219,0,112,1,49,1414
10 May,0,38,0,0,36,0,6,0,49,0,0,454,0,10,0,15,36,4,3,0,399,0,0,196.0,0,0,0,9,1,79,0,0,135,0,154,0,45,1669
11 May,0,73,0,5,23,4,4,0,60,0,0,235,0,37,0,44,4,0,1,0,587,0,0,71.0,0,0,17,2,0,83,0,50,92,0,105,0,82,1579
12 May,0,58,0,0,5,2,1,0,383,1,0,466,0,5,1,28,7,0,0,0,339,0,0,113.0,0,0,31,3,0,130,0,21,83,0,115,0,113,1905
13 May,0,86,0,0,18,0,1,0,346,0,0,316,0,76,8,11,18,1,0,0,422,1,0,144.0,0,0,27,29,0,119,0,117,41,0,92,0,90,1963
14 May,0,50,0,0,12,7,1,0,187,0,0,191,0,21,0,19,9,3,0,0,542,0,0,167.0,0,0,15,23,0,65,0,13,65,27,107,4,66,1594
15 May,0,60,0,1,28,3,0,0,473,0,0,282,0,25,10,28,20,0,2,0,475,0,0,112.0,0,0,8,82,0,81,0,7,359,13,93,1,61,2224
16 May,0,101,0,0,33,11,2,0,408,0,0,273,4,50,16,29,16,4,0,0,524,0,0,32.0,0,0,30,952,0,215,0,12,939,22,276,0,63,4012
17 May,0,103,0,1,0,0,1,0,276,0,0,191,1,48,0,33,13,0,0,0,600,0,0,88.0,0,0,24,109,0,111,0,21,634,21,195,1,67,2538
